"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.univ-paris13.fr/81.194.43.200","443","INFO","HTTP","",""
"pre_128cipher","www.univ-paris13.fr/81.194.43.200","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","",""
"SSLv3","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","",""
"TLS1","www.univ-paris13.fr/81.194.43.200","443","LOW","offered (deprecated)","",""
"TLS1_1","www.univ-paris13.fr/81.194.43.200","443","LOW","offered (deprecated)","",""
"TLS1_2","www.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"TLS1_3","www.univ-paris13.fr/81.194.43.200","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.univ-paris13.fr/81.194.43.200","443","INFO","not offered","",""
"cipherlist_NULL","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.univ-paris13.fr/81.194.43.200","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.univ-paris13.fr/81.194.43.200","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"cipherlist_STRONG","www.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"cipher_order","www.univ-paris13.fr/81.194.43.200","443","OK","server","",""
"protocol_negotiated","www.univ-paris13.fr/81.194.43.200","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.univ-paris13.fr/81.194.43.200","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","www.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","www.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","www.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"FS_ciphers","www.univ-paris13.fr/81.194.43.200","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.univ-paris13.fr/81.194.43.200","443","OK","prime256v1","",""
"TLS_extensions","www.univ-paris13.fr/81.194.43.200","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","www.univ-paris13.fr/81.194.43.200","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.univ-paris13.fr/81.194.43.200","443","INFO","yes","",""
"sessionresumption_ticket","www.univ-paris13.fr/81.194.43.200","443","INFO","not supported","",""
"sessionresumption_ID","www.univ-paris13.fr/81.194.43.200","443","INFO","supported","",""
"TLS_timestamp","www.univ-paris13.fr/81.194.43.200","443","INFO","random","",""
"cert_compression","www.univ-paris13.fr/81.194.43.200","443","INFO","N/A","",""
"clientAuth","www.univ-paris13.fr/81.194.43.200","443","INFO","none","",""
"cert_numbers","www.univ-paris13.fr/81.194.43.200","443","INFO","1","",""
"cert_signatureAlgorithm","www.univ-paris13.fr/81.194.43.200","443","OK","SHA384 with RSA","",""
"cert_keySize","www.univ-paris13.fr/81.194.43.200","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.univ-paris13.fr/81.194.43.200","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.univ-paris13.fr/81.194.43.200","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.univ-paris13.fr/81.194.43.200","443","INFO","2CFD056B4430908B4DDFEB1C59ED7469","",""
"cert_fingerprintSHA1","www.univ-paris13.fr/81.194.43.200","443","INFO","9C5D69D4FB69751C338A499ACE0C3C668654A2AD","",""
"cert_fingerprintSHA256","www.univ-paris13.fr/81.194.43.200","443","INFO","0DB11F49FB05DDC93D46AB67E19AD491A771D740464627DEDFB12AE38027C4D0","",""
