"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","HTTP","",""
"pre_128cipher","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","",""
"SSLv3","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","",""
"TLS1","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_1","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_2","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","offered","",""
"TLS1_3","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","offered with final","",""
"ALPN_HTTP2","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","h2","",""
"ALPN","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","http/1.1","",""
"cipherlist_NULL","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","offered","",""
"cipher_order-tls1_2","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","server","",""
"cipherorder_TLSv1_2","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","server","",""
"FS","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","offered","",""
"FS_ciphers","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","yes","",""
"sessionresumption_ticket","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","supported","",""
"sessionresumption_ID","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","not supported","",""
"TLS_timestamp","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","random","",""
"certificate_compression","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","none","",""
"clientAuth","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","none","",""
"cert_numbers","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","1","",""
"cert_signatureAlgorithm","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","SHA256 with RSA","",""
"cert_keySize","enm.mes-services.mer.gouv.fr/194.5.170.186","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","038A2D2E165F1FFEF2F428F2D7D0214384E1","",""
"cert_serialNumberLen","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","18","",""
"cert_fingerprintSHA1","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","B5EAA25A241B11D6D8FD128384591B0CFC592E7E","",""
"cert_fingerprintSHA256","enm.mes-services.mer.gouv.fr/194.5.170.186","443","INFO","B1F860647DF1FFAC7DDA89A8764783D3A7A5B12DAACDFA7FD9E5CB5BA79C25C7","",""
