"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","firesplash.netlify.app/98.84.224.111","443","INFO","HTTP","",""
"pre_128cipher","firesplash.netlify.app/98.84.224.111","443","INFO","No 128 cipher limit bug","",""
"SSLv2","firesplash.netlify.app/98.84.224.111","443","OK","not offered","",""
"SSLv3","firesplash.netlify.app/98.84.224.111","443","OK","not offered","",""
"TLS1","firesplash.netlify.app/98.84.224.111","443","INFO","not offered","",""
"TLS1_1","firesplash.netlify.app/98.84.224.111","443","INFO","not offered","",""
"TLS1_2","firesplash.netlify.app/98.84.224.111","443","OK","offered","",""
"TLS1_3","firesplash.netlify.app/98.84.224.111","443","OK","offered with final","",""
"ALPN_HTTP2","firesplash.netlify.app/98.84.224.111","443","OK","h2","",""
"ALPN","firesplash.netlify.app/98.84.224.111","443","INFO","http/1.1","",""
"cipherlist_NULL","firesplash.netlify.app/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","firesplash.netlify.app/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","firesplash.netlify.app/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_LOW","firesplash.netlify.app/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","firesplash.netlify.app/98.84.224.111","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","firesplash.netlify.app/98.84.224.111","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","firesplash.netlify.app/98.84.224.111","443","INFO","not offered","",""
"cipherlist_STRONG_FS","firesplash.netlify.app/98.84.224.111","443","OK","offered","",""
"cipher_order-tls1_2","firesplash.netlify.app/98.84.224.111","443","OK","server","",""
"cipherorder_TLSv1_2","firesplash.netlify.app/98.84.224.111","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","firesplash.netlify.app/98.84.224.111","443","OK","server -- TLS 1.3 client determined","",""
"FS","firesplash.netlify.app/98.84.224.111","443","OK","offered","",""
"FS_ciphers","firesplash.netlify.app/98.84.224.111","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","firesplash.netlify.app/98.84.224.111","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","firesplash.netlify.app/98.84.224.111","443","OK","prime256v1","",""
"TLS_extensions","firesplash.netlify.app/98.84.224.111","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","firesplash.netlify.app/98.84.224.111","443","INFO","no -- no lifetime advertised","",""
