"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","HTTP","",""
"pre_128cipher","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","",""
"SSLv3","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","",""
"TLS1","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered","",""
"TLS1_1","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered","",""
"TLS1_2","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","offered","",""
"TLS1_3","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered","",""
"cipherlist_NULL","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oscar.service-civique.gouv.fr/178.32.192.70","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","offered","",""
"cipher_order-tls1_2","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","server","",""
"cipherorder_TLSv1_2","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","server","",""
"FS","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","offered","",""
"FS_ciphers","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","prime256v1","",""
"TLS_extensions","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","yes","",""
"sessionresumption_ticket","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","not supported","",""
"sessionresumption_ID","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","supported","",""
"TLS_timestamp","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","random","",""
"cert_compression","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","N/A","",""
"clientAuth","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","none","",""
"cert_numbers","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","1","",""
"cert_signatureAlgorithm","oscar.service-civique.gouv.fr/178.32.192.70","443","OK","SHA384 with RSA","",""
"cert_keySize","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","69134EE513F550E9851142E68F55560E","",""
"cert_serialNumberLen","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","16","",""
"cert_fingerprintSHA1","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","948869B5DAD41D7C2499E7BB46CAE295C00F3485","",""
"cert_fingerprintSHA256","oscar.service-civique.gouv.fr/178.32.192.70","443","INFO","ED3285363D9B01B88C77C1BE9C323A9D362B648F0114589D9C19A24DD3907923","",""
