"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","HTTP","",""
"pre_128cipher","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"SSLv3","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"TLS1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","offered (deprecated)","",""
"TLS1_1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","offered (deprecated)","",""
"TLS1_2","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"TLS1_3","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered with final","",""
"ALPN_HTTP2","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","h2","",""
"ALPN","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","http/1.1","",""
"cipherlist_NULL","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"cipherlist_STRONG","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"cipher_order","pastek.fabrique.social.gouv.fr/154.41.70.5","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_xc00a","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","TLSv1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc009","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","TLSv1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
"cipher-tls1_1_xc00a","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","TLSv1.1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_xc009","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","TLSv1.1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
